market_price,I_current,I_old,entry_price,short_size,collateral,notional,equity,leverage,pnl,collateral_status,short_status,order_status,withdrawal_fees,funding_rates,maker_taker_fees,costs,gas_fees,total_costs_from_aave_n_dydx,total_stgy_pnl,index_of_mkt_price
1568.74,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.49304343518971,118
1569.97,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.592223480055331,119
1570.89,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.692489956274418,120
1569.96,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.793845388802596,121
1572.18,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.896283751051077,122
1572.08,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-4.999805314711384,123
1570.62,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-5.104414043570504,124
1570.59,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-5.210110019285676,125
1571.29,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-5.316891341727576,126
1571.38,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-5.424757766780291,127
1573.3,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-5.533704082287505,128
1570.55,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-5.643737754097659,129
1571.02,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-5.754857506479887,130
1572.04,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-5.867060570576361,131
1572.73,infty,infty,0,0,112499.894055,0.0,112499.894055,0.0,0.0,True,False,True,0.0001,-7.5e-05,0,0,10,7.5e-05,-5.980345073405371,132
