,id,amountIn,amountInUSD,amountOut,amountOutUSD,timestamp,tokenIn,tokenOut
88,0x0006b2174ad035f358be4a2a4bbb8dba6adaa75935f6b75ea91c28483a79f113-267,191239343497550752,299.6080957179967421235218179737225,300000000,300,1675150019,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
89,0x0006b9ae0e41e2bb2006e39a2aa1b1bf9d256271f7b547aea72f4bcebb852ceb-32,100000000000000000,142.7439434466932503086567311056539,142755881,142.755881,1673559947,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
90,0x0006d45ed36fc2168eb1b551445dec6dc2bedaa345aa66499aaca7776982cdfc-118,3130459795,3130.459795,2000714115646953947,3133.539833393292569689809304434482,1673938319,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
91,0x0006e29138b92d459dca5cad882e581ae75ed28187fffb356cfdb33df9344e83-208,500000000,500,354496208140829605,500.5212898279139487440732761439298,1673611175,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
92,0x0006e2f24ace317a46adc869d72e79ff3ed853b21096af2950003d215ca438bd-453,1951000000,1951,1186515899435651899,1949.739956472058409397388758350414,1675766975,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
93,0x0006f5e3ee6c47d318230178aa71427b9859295cb39e95a58fd595e7c9847e32-102,1128484458043936737,1777.597217155326103934385024411283,1777163186,1777.163186,1674679523,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
94,0x00070ee89a307945fa7729baa77bd84e9be8d9b18e46fe024ae3b83753548f4f-214,45300000000,45300,35511651508703748185,45178.27338399168430155128191996259,1669917419,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
95,0x00071671c9a89f538fa3b15d40bbcc29bb07ae1d601364141e547ac6af6b499b-2,289476898087,289476.898087,183487364915596510774,289546.4211466199105665218362133516,1674035303,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
96,0x00071755c1829f6009766383c27d531c654db6540ad91273e29fceac9c3bf81e-104,702515498477883100,852.5765966949496092385262389774738,854021771,854.021771,1669589579,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
97,0x000733aaa47fe79cd1250e7d3342937f151ef402f26baac6ec5815d11ec30920-252,999506095727113942,1659.105343745557268787958634689001,1656000000,1656,1676610491,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
98,0x00074e7856cec06964ed7e9e49ff0cee6749f98155e7776250d7da08207b2269-154,139000000000000000,177.7472365005762227623917226610236,177671873,177.671873,1670183963,"{'name': 'Wrapped Ether', 'symbol': 'WETH'}","{'name': 'USD Coin', 'symbol': 'USDC'}"
99,0x0007557d2f77a2088ae842e3052430d2712bb6ad4e0cc6e281d5dd4f97517c42-64,1950853839,1950.853839,1160752137942572619,1947.843469780194405829595960947194,1675526351,"{'name': 'USD Coin', 'symbol': 'USDC'}","{'name': 'Wrapped Ether', 'symbol': 'WETH'}"
